1;Acetaldehyde;C2H4O;75-07-0;44.053;-5.895;668.21;-0.84323;;;150.15;3.446E-03;294.00;2.216E-04
2;Acetamide;C2H5NO;60-35-5;59.067;1.5525;1376.4;-2.0126;;;353.33;1.728E-03;494.30;2.895E-04
3;Acetic acid;C2H4O2;64-19-7;60.052;-9.03;1212.3;-0.322;;;289.81;1.265E-03;391.05;3.890E-04
4;Acetic anhydride;C4H6O3;108-24-7;102.089;-14.164;1350.3;0.4492;;;210.00;4.834E-03;412.70;2.783E-04
5;Acetone;C3H6O;67-64-1;58.079;-14.918;1023.4;0.5961;;;190.00;1.655E-03;329.44;2.351E-04
6;Acetonitrile;C2H3N;75-05-8;41.052;-10.906;872.02;;;;229.32;8.220E-04;436.40;1.350E-04
7;Acetylene;C2H2;74-86-2;26.037;6.224;-151.8;-2.6554;;;193.15;1.958E-04;273.15;9.819E-05
8;Acrolein;C3H4O;107-02-8;56.063;-12.032;867.34;0.19534;;;185.45;1.773E-03;353.22;2.181E-04
9;Acrylic acid;C3H4O2;79-10-7;72.063;-28.12;2280.2;2.3956;;;286.15;1.359E-03;460.00;2.086E-04
10;Acrylonitrile;C3H3N;107-13-1;53.063;2.019;239.7;-1.8975;;;220.00;8.040E-04;350.50;2.215E-04
11;Air;Mixture;132259-10-0;28.960;-20.077;285.15;1.784;-6.2382E-22;10;59.15;3.430E-04;130.00;4.276E-05
12;Ammonia;H3N;7664-41-7;17.031;-6.743;598.3;-0.7341;-3.69E-27;10;195.41;5.240E-04;393.15;4.858E-05
13;Anisole;C7H8O;100-66-3;108.138;-15.407;1518.7;0.60172;;;235.65;3.429E-03;426.73;2.736E-04
14;Argon;Ar;7440-37-1;39.948;-8.8685;204.29;-0.38305;-1.2937E-22;10;83.78;2.950E-04;150.00;3.823E-05
15;Benzamide;C7H7NO;55-21-0;121.137;-12.632;2668.2;;;;403.00;2.451E-03;563.15;3.730E-04
16;Benzene;C6H6;71-43-2;78.112;7.5117;294.68;-2.794;;;278.68;7.761E-04;545.00;7.106E-05
17;Benzenethiol;C6H6S;108-98-5;110.177;-8.4562;1024.4;-0.30635;;;258.27;2.047E-03;442.29;3.333E-04
18;Benzoic acid;C7H6O2;65-85-0;122.121;-12.947;2557.9;;;;395.52;1.530E-03;600.80;1.680E-04
19;Benzonitrile;C7H5N;100-47-0;103.121;-20.236;1737.4;1.3531;;;270.00;1.977E-03;450.00;3.009E-04
20;Benzophenone;C13H10O;119-61-9;182.218;13.354;-232.91;-3.2685;1.7488E+20;-8.052;321.35;6.100E-03;664.00;2.660E-04
21;Benzyl alcohol;C7H8O;100-51-6;108.138;-14.152;2652;;;;257.85;2.092E-02;478.60;1.821E-04
22;Benzyl ethyl ether;C9H12O;539-30-0;136.191;-11.46;1497;-0.043397;;;275.65;1.887E-03;458.15;2.121E-04
23;Benzyl mercaptan;C7H8S;100-53-8;124.203;-11.459;1334.4;0.00049694;;;243.95;2.513E-03;472.03;1.788E-04
24;Biphenyl;C12H10;92-52-4;154.208;-9.9265;1576.3;-0.21119;;;342.20;1.427E-03;723.15;1.076E-04
25;Bromine;Br2;7726-95-6;159.808;16.775;-314;-3.9763;;;265.85;1.353E-03;350.00;6.021E-04
26;Bromobenzene;C6H5Br;108-86-1;157.008;-20.611;1656.5;1.4415;;;242.43;2.842E-03;429.24;3.310E-04
27;Bromoethane;C2H5Br;74-96-4;108.965;-10.015;823.43;-0.11122;;;154.55;5.260E-03;311.50;3.321E-04
28;Bromomethane;CH3Br;74-83-9;94.939;-8.103;570.8;-0.32958;;;179.47;1.316E-03;276.71;3.732E-04
29;1,2-Butadiene;C4H6;590-19-2;54.090;-10.143;472.79;-0.028241;;;136.95;1.081E-03;284.00;1.773E-04
30;1,3-Butadiene;C4H6;106-99-0;54.090;17.844;-310.2;-4.5058;;;250.00;2.547E-04;400.00;4.880E-05
31;Butane;C4H10;106-97-8;58.122;-7.2471;534.82;-0.57469;-4.6625E-27;10;134.86;2.243E-03;420.00;3.566E-05
32;1,2-Butanediol;C4H10O2;584-03-2;90.121;-393.86;19042;59.978;-0.049479;1;220.00;2.020E+02;544.00;3.440E-04
33;1,3-Butanediol;C4H10O2;107-88-0;90.121;-390.03;18609;60.014;-0.055844;1;196.15;4.410E+04;540.80;2.890E-04
34;1-Butanol;C4H10O;71-36-3;74.122;0.87669;1602.9;-2.1475;3.3866E+22;-9.9231;190.00;3.237E-01;391.90;3.877E-04
35;2-Butanol;C4H10O;78-92-2;74.122;-16.323;3141.7;;;;158.45;3.327E+01;372.90;3.715E-04
36;1-Butene;C4H8;106-98-9;56.106;-10.773;591.61;;;;87.80;1.770E-02;335.60;1.220E-04
37;cis-2-Butene;C4H8;590-18-1;56.106;-10.346;522.3;-0.011847;;;134.26;1.483E-03;276.87;1.982E-04
38;trans-2-Butene;C4H8;624-64-6;56.106;-10.335;521.39;-0.013184;;;167.62;6.810E-04;274.03;2.022E-04
39;Butyl acetate;C6H12O2;123-86-4;116.158;-17.488;1478.2;0.91828;;;250.00;1.496E-03;399.26;2.521E-04
40;Butylbenzene;C10H14;104-51-8;134.218;-23.802;1887.2;1.8479;;;200.00;1.030E-02;456.46;2.359E-04
41;Butyl mercaptan;C4H10S;109-79-5;90.187;-10.807;966.74;-0.014851;;;157.46;8.717E-03;373.15;2.475E-04
42;sec-Butyl mercaptan;C4H10S;513-53-1;90.187;-10.903;932.82;0.023034;;;133.02;2.288E-02;358.13;2.851E-04
43;1-Butyne;C4H6;107-00-6;54.090;-3.4644;334.5;-1.0811;;;147.43;1.369E-03;373.15;1.271E-04
44;Butyraldehyde;C4H8O;123-72-8;72.106;-10.057;903.73;-0.13186;;;176.75;3.602E-03;348.05;2.660E-04
45;Butyric acid;C4H8O2;107-92-6;88.105;-9.817;1388;-0.238;;;267.95;2.561E-03;436.42;3.087E-04
46;Butyronitrile;C4H7N;109-74-0;69.105;-10.136;1006.4;-0.1337;;;161.25;1.031E-02;390.75;2.344E-04
47;Carbon dioxide;CO2;124-38-9;44.010;18.775;-402.92;-4.6854;-6.9171E-26;10;216.58;2.488E-04;303.15;5.652E-05
48;Carbon disulfide;CS2;75-15-0;76.141;-10.306;703.01;;;;161.58;2.590E-03;441.60;1.640E-04
49;Carbon monoxide;CO;630-08-0;28.010;-4.9735;97.67;-1.1088;;;68.15;2.689E-04;131.37;6.515E-05
50;Carbon tetrachloride;CCl4;56-23-5;153.823;-8.0738;1121.1;-0.4726;;;250.00;2.032E-03;455.00;2.030E-04
